merchant,category
zomato,Food & Dining
ZOMATO ORDER 12345,Food & Dining
ZOMATO_ORD_BANGALORE,Food & Dining
ZMT*ZOMATO,Food & Dining
ZOMATO GOLD MEMBER,Food & Dining
swiggy,Food & Dining
SWIGGY*DELIVERY,Food & Dining
SWIGGY ORDER MUMBAI,Food & Dining
SWG*SWIGGY FOOD,Food & Dining
SWIGGY_DINEOUT,Food & Dining
dominos,Food & Dining
DOMINOS PIZZA ORDER,Food & Dining
DOMINOS*ONLINE,Food & Dining
DMP*DOMINOS PIZZA,Food & Dining
mcdonalds,Food & Dining
MCDONALDS REST,Food & Dining
MCD*MCDONALDS,Food & Dining
MCDONALDS DRIVE THRU,Food & Dining
kfc,Food & Dining
KFC RESTAURANT,Food & Dining
KFC*ORDER ONLINE,Food & Dining
pizza hut,Food & Dining
PIZZA HUT DELIVERY,Food & Dining
PHD*PIZZA HUT,Food & Dining
burger king,Food & Dining
BURGER KING REST,Food & Dining
BK*BURGER KING,Food & Dining
subway,Food & Dining
SUBWAY SANDWICH,Food & Dining
SUB*SUBWAY REST,Food & Dining
starbucks,Food & Dining
STARBUCKS COFFEE,Food & Dining
SBUX*STARBUCKS,Food & Dining
STARBUCKS STORE 4521,Food & Dining
cafe coffee day,Food & Dining
CAFE COFFEE DAY MG ROAD,Food & Dining
CCD*CAFE COFFEE DAY,Food & Dining
haldirams,Food & Dining
HALDIRAMS RESTAURANT,Food & Dining
HALDIRAMS NAGPUR,Food & Dining
barbeque nation,Food & Dining
BARBEQUE NATION INDIRANAGAR,Food & Dining
BBQ*BARBEQUE NATION,Food & Dining
paradise biryani,Food & Dining
PARADISE BIRYANI HYD,Food & Dining
PARADISE*RESTAURANT,Food & Dining
behrouz biryani,Food & Dining
BEHROUZ BIRYANI ORDER,Food & Dining
BHR*BEHROUZ,Food & Dining
faasos,Food & Dining
FAASOS WRAPS ORDER,Food & Dining
FAS*FAASOS,Food & Dining
box8,Food & Dining
BOX8 MEALS ORDER,Food & Dining
BOX8*DELIVERY,Food & Dining
eatfit,Food & Dining
EATFIT HEALTHY MEALS,Food & Dining
EAT*EATFIT ORDER,Food & Dining
uber eats,Food & Dining
UBER EATS ORDER,Food & Dining
UBEREATS*DELIVERY,Food & Dining
chai point,Food & Dining
CHAI POINT STORE,Food & Dining
CHP*CHAI POINT,Food & Dining
chaayos,Food & Dining
CHAAYOS TEA CAFE,Food & Dining
CHY*CHAAYOS,Food & Dining
third wave coffee,Food & Dining
THIRD WAVE COFFEE ROASTERS,Food & Dining
TWC*THIRD WAVE,Food & Dining
blue tokai,Food & Dining
BLUE TOKAI COFFEE,Food & Dining
BLT*BLUE TOKAI,Food & Dining
chipotle,Food & Dining
CHIPOTLE MEXICAN GRILL,Food & Dining
CHP*CHIPOTLE,Food & Dining
dunkin,Food & Dining
DUNKIN DONUTS STORE,Food & Dining
DKN*DUNKIN,Food & Dining
taco bell,Food & Dining
TACO BELL RESTAURANT,Food & Dining
TBL*TACO BELL,Food & Dining
papa johns,Food & Dining
PAPA JOHNS PIZZA,Food & Dining
PJ*PAPA JOHNS,Food & Dining
bigbasket,Groceries
BIGBASKET ORDER,Groceries
BB*BIGBASKET GROCERY,Groceries
BIGBASKET_DELIVERY_BLR,Groceries
blinkit,Groceries
BLINKIT GROCERY ORDER,Groceries
BLK*BLINKIT,Groceries
BLINKIT_INSTANT_DEL,Groceries
zepto,Groceries
ZEPTO DELIVERY,Groceries
ZPT*ZEPTO GROCERY,Groceries
ZEPTO_ORDER_MUM,Groceries
jiomart,Groceries
JIOMART GROCERY,Groceries
JIO*JIOMART ORDER,Groceries
dmart,Groceries
DMART SUPERMARKET,Groceries
DMT*DMART STORE,Groceries
DMART READY ONLINE,Groceries
reliance fresh,Groceries
RELIANCE FRESH STORE,Groceries
REL*RELIANCE FRESH,Groceries
more supermarket,Groceries
MORE SUPERMARKET STORE,Groceries
MORE*MEGASTORE,Groceries
spencers,Groceries
SPENCERS RETAIL STORE,Groceries
SPC*SPENCERS,Groceries
natures basket,Groceries
NATURES BASKET STORE,Groceries
NB*NATURES BASKET,Groceries
licious,Groceries
LICIOUS MEAT ORDER,Groceries
LCS*LICIOUS FRESH,Groceries
freshmeat,Groceries
FRESHMEAT ORDER ONLINE,Groceries
country delight,Groceries
COUNTRY DELIGHT MILK,Groceries
CD*COUNTRY DELIGHT,Groceries
milkbasket,Groceries
MILKBASKET DELIVERY,Groceries
MB*MILKBASKET,Groceries
amul,Groceries
AMUL PARLOUR,Groceries
AMUL*STORE,Groceries
mother dairy,Groceries
MOTHER DAIRY BOOTH,Groceries
MD*MOTHER DAIRY,Groceries
swiggy instamart,Groceries
SWIGGY INSTAMART ORDER,Groceries
SWG*INSTAMART,Groceries
zepto cafe,Groceries
ZEPTO CAFE ORDER,Groceries
walmart,Groceries
WALMART SUPERCENTER,Groceries
WMT*WALMART STORE,Groceries
target,Groceries
TARGET STORE PURCHASE,Groceries
TGT*TARGET,Groceries
costco,Groceries
COSTCO WHOLESALE,Groceries
CST*COSTCO,Groceries
whole foods,Groceries
WHOLE FOODS MARKET,Groceries
WFM*WHOLE FOODS,Groceries
trader joes,Groceries
TRADER JOES STORE,Groceries
TJ*TRADER JOES,Groceries
amazon,Shopping
AMAZON MARKETPLACE,Shopping
AMZ*AMAZON PURCHASE,Shopping
AMAZON.IN ORDER,Shopping
AMAZON PAY MERCHANT,Shopping
flipkart,Shopping
FLIPKART ORDER,Shopping
FKT*FLIPKART PURCHASE,Shopping
FLIPKART_INTERNET,Shopping
myntra,Shopping
MYNTRA FASHION ORDER,Shopping
MYN*MYNTRA,Shopping
MYNTRA_JABONG,Shopping
ajio,Shopping
AJIO FASHION ORDER,Shopping
AJI*AJIO PURCHASE,Shopping
nykaa,Shopping
NYKAA BEAUTY ORDER,Shopping
NYK*NYKAA FASHION,Shopping
NYKAA_ECOMMERCE,Shopping
meesho,Shopping
MEESHO ORDER,Shopping
MSH*MEESHO,Shopping
snapdeal,Shopping
SNAPDEAL ORDER ONLINE,Shopping
SD*SNAPDEAL,Shopping
tata cliq,Shopping
TATA CLIQ PURCHASE,Shopping
TC*TATA CLIQ,Shopping
croma,Shopping
CROMA ELECTRONICS,Shopping
CRM*CROMA STORE,Shopping
reliance digital,Shopping
RELIANCE DIGITAL STORE,Shopping
RD*RELIANCE DIGITAL,Shopping
vijay sales,Shopping
VIJAY SALES ELECTRONICS,Shopping
VS*VIJAY SALES,Shopping
decathlon,Shopping
DECATHLON SPORTS STORE,Shopping
DCT*DECATHLON,Shopping
nike,Shopping
NIKE STORE PURCHASE,Shopping
NKE*NIKE ONLINE,Shopping
adidas,Shopping
ADIDAS STORE,Shopping
ADI*ADIDAS ONLINE,Shopping
puma,Shopping
PUMA STORE PURCHASE,Shopping
PMA*PUMA,Shopping
zara,Shopping
ZARA STORE PURCHASE,Shopping
ZRA*ZARA FASHION,Shopping
h&m,Shopping
H&M FASHION STORE,Shopping
HM*H AND M,Shopping
lifestyle,Shopping
LIFESTYLE STORE,Shopping
LFS*LIFESTYLE,Shopping
shoppers stop,Shopping
SHOPPERS STOP STORE,Shopping
SS*SHOPPERS STOP,Shopping
westside,Shopping
WESTSIDE TATA STORE,Shopping
WSD*WESTSIDE,Shopping
pantaloons,Shopping
PANTALOONS STORE,Shopping
PNT*PANTALOONS,Shopping
central,Shopping
CENTRAL MALL STORE,Shopping
CTL*CENTRAL,Shopping
fabindia,Shopping
FABINDIA STORE,Shopping
FBI*FABINDIA,Shopping
tanishq,Shopping
TANISHQ JEWELLERY,Shopping
TNQ*TANISHQ STORE,Shopping
kalyan jewellers,Shopping
KALYAN JEWELLERS STORE,Shopping
KJ*KALYAN JEWELLERS,Shopping
titan,Shopping
TITAN STORE PURCHASE,Shopping
TTN*TITAN,Shopping
reliance trends,Shopping
RELIANCE TRENDS STORE,Shopping
RT*RELIANCE TRENDS,Shopping
ikea,Shopping
IKEA STORE PURCHASE,Shopping
IKA*IKEA HOME,Shopping
pepperfry,Shopping
PEPPERFRY FURNITURE,Shopping
PPF*PEPPERFRY ORDER,Shopping
urban ladder,Shopping
URBAN LADDER ORDER,Shopping
UL*URBAN LADDER,Shopping
home centre,Shopping
HOME CENTRE STORE,Shopping
HC*HOME CENTRE,Shopping
best buy,Shopping
BEST BUY ELECTRONICS,Shopping
BBY*BEST BUY,Shopping
gamestop,Shopping
GAMESTOP STORE,Shopping
GS*GAMESTOP,Shopping
apple store,Shopping
APPLE STORE PURCHASE,Shopping
APL*APPLE STORE,Shopping
google store,Shopping
GOOGLE STORE ORDER,Shopping
GGL*GOOGLE STORE,Shopping
netflix,Subscriptions
NETFLIX.COM,Subscriptions
NFLX*NETFLIX MONTHLY,Subscriptions
NETFLIX SUBSCRIPTION,Subscriptions
hotstar,Subscriptions
DISNEY PLUS HOTSTAR,Subscriptions
HST*HOTSTAR PREMIUM,Subscriptions
prime video,Subscriptions
AMAZON PRIME VIDEO,Subscriptions
APV*PRIME MEMBERSHIP,Subscriptions
spotify,Subscriptions
SPOTIFY PREMIUM,Subscriptions
SPT*SPOTIFY MUSIC,Subscriptions
SPOTIFY.COM SUBSCRIPTION,Subscriptions
gaana,Subscriptions
